Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
31,Zberg,141,31,Zberg,141,31,Zberg,141,UR
33,Dittli,138,33,Dittli,138,33,Dittli,138,UR
34,Furger,136,34,Furger,136,34,Furger,136,UR
34,Regli,136,34,Regli,136,34,Regli,136,UR
36,Simmen,131,36,Simmen,131,36,Simmen,131,UR
37,Lussmann,129,37,Lussmann,129,37,Lussmann,129,UR
38,Fedier,128,38,Fedier,128,38,Fedier,128,UR
39,Gerig,126,39,Gerig,126,39,Gerig,126,UR
40,Christen,103,40,Christen,103,40,Christen,103,UR
41,Püntener,100,41,Püntener,100,41,Püntener,100,UR
42,Marty,98,42,Marty,98,42,Marty,98,UR
43,Loretz,93,43,Loretz,93,43,Loretz,93,UR
43,Zwyssig,93,43,Zwyssig,93,43,Zwyssig,93,UR
45,Betschart,84,45,Betschart,84,45,Betschart,84,UR
46,Huber,81,46,Huber,81,46,Huber,81,UR
47,Mattli,80,47,Mattli,80,47,Mattli,80,UR
48,Russi,78,48,Russi,78,48,Russi,78,UR
48,Truttmann,78,48,Truttmann,78,48,Truttmann,78,UR
50,Kieliger,77,50,Kieliger,77,50,Kieliger,77,UR
51,Riedi,69,51,Riedi,69,51,Riedi,69,UR
52,Dubacher,64,52,Dubacher,64,52,Dubacher,64,UR
53,Gasser,63,53,Gasser,63,53,Gasser,63,UR
54,Traxel,62,54,Traxel,62,54,Traxel,62,UR
55,Inderkum,61,55,Inderkum,61,55,Inderkum,61,UR
56,Schmid,60,56,Schmid,60,56,Schmid,60,UR
57,Poletti,59,57,Poletti,59,57,Poletti,59,UR
58,Inderbitzin,58,58,Inderbitzin,58,58,Inderbitzin,58,UR
58,Schilter,58,58,Schilter,58,58,Schilter,58,UR
60,Frei,55,60,Frei,55,60,Frei,55,UR
61,Meier,54,61,Meier,54,61,Meier,54,UR
62,Albert,53,62,Albert,53,62,Albert,53,UR
63,Bachmann,52,63,Bachmann,52,63,Bachmann,52,UR
64,Achermann,51,64,Achermann,51,64,Achermann,51,UR
64,Bär,51,64,Bär,51,64,Bär,51,UR
64,Odermatt,51,64,Odermatt,51,64,Odermatt,51,UR
64,Senn,51,64,Senn,51,64,Senn,51,UR
68,da Silva,49,68,da Silva,49,68,da Silva,49,UR
68,Welti,49,68,Welti,49,68,Welti,49,UR
70,Meyer,47,70,Meyer,47,70,Meyer,47,UR
71,Bunschi,46,71,Bunschi,46,71,Bunschi,46,UR
71,Gwerder,46,71,Gwerder,46,71,Gwerder,46,UR
73,Dani,45,73,Dani,45,73,Dani,45,UR
74,Danioth,44,74,Danioth,44,74,Danioth,44,UR
75,Geisser,42,75,Geisser,42,75,Geisser,42,UR
76,Gisler-Arnold,40,76,Gisler-Arnold,40,76,Gisler-Arnold,40,UR
77,Gehrig,39,77,Gehrig,39,77,Gehrig,39,UR
77,Schillig,39,77,Schillig,39,77,Schillig,39,UR
79,Muoser,37,79,Muoser,37,79,Muoser,37,UR
79,Weber,37,79,Weber,37,79,Weber,37,UR
81,Pereira,36,81,Pereira,36,81,Pereira,36,UR
81,Philipp,36,81,Philipp,36,81,Philipp,36,UR
81,Widmer,36,81,Widmer,36,81,Widmer,36,UR
84,Bucher,35,84,Bucher,35,84,Bucher,35,UR
84,Steiner,35,84,Steiner,35,84,Steiner,35,UR
84,Zimmermann,35,84,Zimmermann,35,84,Zimmermann,35,UR
87,Arnold-Gisler,34,87,Arnold-Gisler,34,87,Arnold-Gisler,34,UR
87,Kaufmann,34,87,Kaufmann,34,87,Kaufmann,34,UR
87,Renner,34,87,Renner,34,87,Renner,34,UR
90,Brunner,33,90,Brunner,33,90,Brunner,33,UR
90,Gisler-Gisler,33,90,Gisler-Gisler,33,90,Gisler-Gisler,33,UR
90,Rodrigues,33,90,Rodrigues,33,90,Rodrigues,33,UR
93,Burri,32,93,Burri,32,93,Burri,32,UR
93,Eller,32,93,Eller,32,93,Eller,32,UR
93,Lauener,32,93,Lauener,32,93,Lauener,32,UR
93,Nager,32,93,Nager,32,93,Nager,32,UR
93,Zopp,32,93,Zopp,32,93,Zopp,32,UR
98,Cathry,31,98,Cathry,31,98,Cathry,31,UR
98,Deplazes,31,98,Deplazes,31,98,Deplazes,31,UR
98,Ferreira,31,98,Ferreira,31,98,Ferreira,31,UR
