Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
Clerc,2121,Clerc,2121,Clerc,2121,2,Suisse romande
Fernandez,2106,Fernandez,2106,Fernandez,2106,2,Suisse romande
de Jesus,2065,de Jesus,2065,de Jesus,2065,2,Suisse romande
Richard,2060,Richard,2060,Richard,2060,2,Suisse romande
Monteiro,2059,Monteiro,2059,Monteiro,2059,2,Suisse romande
de Sousa,2058,de Sousa,2058,de Sousa,2058,2,Suisse romande
Gonzalez,2025,Gonzalez,2025,Gonzalez,2025,2,Suisse romande
Soares,1997,Soares,1997,Soares,1997,2,Suisse romande
Almeida,1977,Almeida,1977,Almeida,1977,2,Suisse romande
Maillard,1949,Maillard,1949,Maillard,1949,2,Suisse romande
Martinez,1941,Martinez,1941,Martinez,1941,2,Suisse romande
Gashi,1923,Gashi,1923,Gashi,1923,2,Suisse romande
Monney,1922,Monney,1922,Monney,1922,2,Suisse romande
Carvalho,1914,Carvalho,1914,Carvalho,1914,2,Suisse romande
Lopez,1888,Lopez,1888,Lopez,1888,2,Suisse romande
Perrin,1880,Perrin,1880,Perrin,1880,2,Suisse romande
Nguyen,1869,Nguyen,1869,Nguyen,1869,2,Suisse romande
Schneider,1817,Schneider,1817,Schneider,1817,2,Suisse romande
Krasniqi,1810,Krasniqi,1810,Krasniqi,1810,2,Suisse romande
Schmid,1798,Schmid,1798,Schmid,1798,2,Suisse romande
Weber,1778,Weber,1778,Weber,1778,2,Suisse romande
Berger,1776,Berger,1776,Berger,1776,2,Suisse romande
Cardoso,1756,Cardoso,1756,Cardoso,1756,2,Suisse romande
Michel,1737,Michel,1737,Michel,1737,2,Suisse romande
Perez,1722,Perez,1722,Perez,1722,2,Suisse romande
Dubois,1720,Dubois,1720,Dubois,1720,2,Suisse romande
Bonvin,1706,Bonvin,1706,Bonvin,1706,2,Suisse romande
Berisha,1669,Berisha,1669,Berisha,1669,2,Suisse romande
Reymond,1655,Reymond,1655,Reymond,1655,2,Suisse romande
Genoud,1638,Genoud,1638,Genoud,1638,2,Suisse romande
Vieira,1633,Vieira,1633,Vieira,1633,2,Suisse romande
Chappuis,1605,Chappuis,1605,Chappuis,1605,2,Suisse romande
Gaillard,1590,Gaillard,1590,Gaillard,1590,2,Suisse romande
de Almeida,1582,de Almeida,1582,de Almeida,1582,2,Suisse romande
Grandjean,1564,Grandjean,1564,Grandjean,1564,2,Suisse romande
Moret,1563,Moret,1563,Moret,1563,2,Suisse romande
Perret,1563,Perret,1563,Perret,1563,2,Suisse romande
Jordan,1527,Jordan,1527,Jordan,1527,2,Suisse romande
Meylan,1515,Meylan,1515,Meylan,1515,2,Suisse romande
Oberson,1502,Oberson,1502,Oberson,1502,2,Suisse romande
Morel,1500,Morel,1500,Morel,1500,2,Suisse romande
Chevalley,1497,Chevalley,1497,Chevalley,1497,2,Suisse romande
Emery,1492,Emery,1492,Emery,1492,2,Suisse romande
Magnin,1486,Magnin,1486,Magnin,1486,2,Suisse romande
Clément,1470,Clément,1470,Clément,1470,2,Suisse romande
Sousa,1433,Sousa,1433,Sousa,1433,2,Suisse romande
Zufferey,1411,Zufferey,1411,Zufferey,1411,2,Suisse romande
Barras,1391,Barras,1391,Barras,1391,2,Suisse romande
Jaquet,1387,Jaquet,1387,Jaquet,1387,2,Suisse romande
Ramos,1387,Ramos,1387,Ramos,1387,2,Suisse romande
Fleury,1367,Fleury,1367,Fleury,1367,2,Suisse romande
Nunes,1365,Nunes,1365,Nunes,1365,2,Suisse romande
Sanchez,1361,Sanchez,1361,Sanchez,1361,2,Suisse romande
Tavares,1354,Tavares,1354,Tavares,1354,2,Suisse romande
Steiner,1347,Steiner,1347,Steiner,1347,2,Suisse romande
Duarte,1337,Duarte,1337,Duarte,1337,2,Suisse romande
Pasquier,1324,Pasquier,1324,Pasquier,1324,2,Suisse romande
Duc,1306,Duc,1306,Duc,1306,2,Suisse romande
Berset,1278,Berset,1278,Berset,1278,2,Suisse romande
Schaller,1261,Schaller,1261,Schaller,1261,2,Suisse romande
Moser,1257,Moser,1257,Moser,1257,2,Suisse romande
Keller,1249,Keller,1249,Keller,1249,2,Suisse romande
